                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93351,                 1.3318,                 1.2847,                0.78613,                0.83607,                0.83808,                0.68868,                0.65831,                 1.7832,                 1.0954,             0.00025578,             0.00025578,             0.00025578
                      2,                0.95092,                0.90788,                 1.2654,                0.85802,                0.91167,                0.94155,                0.77422,                0.68327,                0.80143,                 1.0754,             0.00050704,             0.00050704,             0.00050704
                      3,                0.93432,                0.84506,                 1.2546,                0.92242,                0.89529,                0.96088,                0.78827,                0.67668,                0.66146,                 1.1252,             0.00075323,             0.00075323,             0.00075323
                      4,                0.91676,                0.78747,                  1.236,                0.94002,                 0.9402,                0.97648,                0.82528,                0.62996,                0.53599,                 1.0616,             0.00074616,             0.00074616,             0.00074616
                      5,                0.87955,                0.71075,                 1.2184,                0.97763,                0.97637,                0.98885,                0.84872,                0.59223,                0.41577,                 1.0012,             0.00073855,             0.00073855,             0.00073855
                      6,                0.85235,                 0.6632,                 1.1918,                0.98122,                 0.9613,                0.98798,                0.85561,                 0.5506,                0.39092,                0.98037,             0.00073093,             0.00073093,             0.00073093
                      7,                0.82777,                0.60205,                 1.1786,                 0.9851,                0.97594,                0.99233,                0.85818,                0.56765,                 0.3449,                0.98511,             0.00072332,             0.00072332,             0.00072332
                      8,                0.79714,                  0.587,                 1.1609,                 0.9633,                0.97634,                0.98782,                0.86151,                0.53243,                0.37569,                0.97332,             0.00071571,             0.00071571,             0.00071571
                      9,                0.78423,                0.56308,                 1.1496,                0.98521,                0.97843,                0.99078,                0.86925,                0.54689,                0.33407,                0.96039,              0.0007081,              0.0007081,              0.0007081
                     10,                0.76384,                0.53942,                 1.1393,                0.95561,                0.97387,                0.98078,                0.87087,                0.52279,                0.37876,                0.96191,             0.00070048,             0.00070048,             0.00070048
                     11,                0.76113,                0.52789,                 1.1344,                0.97001,                 0.9778,                0.99105,                0.88471,                0.47501,                0.34395,                0.93217,             0.00069287,             0.00069287,             0.00069287
                     12,                0.74294,                0.51482,                 1.1257,                0.97755,                 0.9889,                0.99288,                0.89718,                0.47865,                0.29518,                0.92398,             0.00068526,             0.00068526,             0.00068526
                     13,                 0.7391,                0.50741,                 1.1213,                0.98603,                0.98109,                0.99397,                0.89378,                0.47479,                0.28175,                0.91537,             0.00067764,             0.00067764,             0.00067764
                     14,                0.71309,                0.47998,                 1.0999,                0.98788,                0.98579,                0.99173,                0.88948,                0.47821,                0.27946,                0.91988,             0.00067003,             0.00067003,             0.00067003
                     15,                0.70922,                0.47118,                 1.0946,                0.99466,                0.98986,                0.99449,                0.90227,                0.45994,                0.25462,                0.90928,             0.00066242,             0.00066242,             0.00066242
                     16,                 0.7013,                0.46554,                 1.0948,                 0.9848,                0.98802,                0.99307,                 0.9039,                0.44393,                 0.2565,                 0.9077,              0.0006548,              0.0006548,              0.0006548
                     17,                0.69581,                0.46154,                 1.0843,                0.97842,                0.99261,                0.99087,                0.90321,                 0.4538,                0.26879,                0.90265,             0.00064719,             0.00064719,             0.00064719
                     18,                0.68081,                0.44686,                 1.0806,                0.98939,                0.98587,                0.99164,                0.90547,                0.43995,                0.25841,                0.89515,             0.00063958,             0.00063958,             0.00063958
